(Do Not Modify) Province,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Abbreviation,Created On
a81f468d-d9a5-e611-80bb-00155d64ab22,TdMC9k5wunyXg9s8qkziR6/kNKfb9kdWp2fR08ZOSUKwogbSK/3oQCO3bW4gL/SR1CPy0WiicmohpiiziM994Q==,2017-10-11 16:17,Alabama,AL,2016-11-08 10:34
aa1f468d-d9a5-e611-80bb-00155d64ab22,/IVWr4P2iggm5klNNEmmy2m7pE2zuCBe5545hiTYeJmU3CAvl9AYeC5yGR0C5H+KlyH4p4Q/hYZWlbBH3r/zkw==,2017-10-11 16:17,Alaska,AK,2016-11-08 10:34
ac1f468d-d9a5-e611-80bb-00155d64ab22,Xsx9rvKzg4S4suBxl8NCRzlruSU8mH7UoMVR91VeU6yULDaFFSpQonzUD6yFaoMDGcrUEC2Gi+QSbQkBVfqg6Q==,2017-10-11 16:17,Alberta,AB,2016-11-08 10:34
ae1f468d-d9a5-e611-80bb-00155d64ab22,+QOHiUNAqF6nEiqAUwimXcWwCx/xobuTcs40SBFtPDlJdWAxURKlGN4yMiX34aEGb7mBp6oT2FSCaTFFSagSfA==,2017-10-11 16:17,Arizona,AZ,2016-11-08 10:34
b01f468d-d9a5-e611-80bb-00155d64ab22,2B+9pkcpUpFtxrc8pdNDQ9/TJqLHpEdvWcMANKMjhoMqjYHl8eRPu5GpJb5cl+hEw2SuOAdBr3gy2aM93ONPUA==,2017-10-11 16:17,Arkansas,AR,2016-11-08 10:34
d7fe858c-7443-e911-a987-000d3af438b6,jx5taK5Dgqi3Qp1Ktp/GpgYVm68QB1aKJGTzBlzuLCF6mhk0dSFLTl9MJUMrPIamtstatJptxFhjVicp64aqgg==,2019-03-10 20:39,Bhutan,,2019-03-10 14:39
b21f468d-d9a5-e611-80bb-00155d64ab22,EAS2iDwwfBNruNqOIMzp/WtMOyx8mLMRzBNlGVmfYDY+csuuDOnPpouzAN9JRoXl8WaXE0huss3qi4vqWhsaQA==,2017-10-11 16:17,British Columbia,BC,2016-11-08 10:34
b41f468d-d9a5-e611-80bb-00155d64ab22,XU68rbBXLVtiK9oYFXNVSW2ULelslGzaKm5QYJoH/M5POERKaDniXhkFHe0yYoFxHNI7H9mTJsZPG0RnZCqQNg==,2017-10-11 16:17,California,CA,2016-11-08 10:34
b81f468d-d9a5-e611-80bb-00155d64ab22,jSULNWO8pREY38fk0DXNldG2QK/otFPu/UPkCpiD7nTCktspH+8R3Aw7YCMbRNBwk/cMSicgkp4nchggoET9ng==,2017-10-11 16:17,Colorado,CO,2016-11-08 10:34
ba1f468d-d9a5-e611-80bb-00155d64ab22,8MPEEFXU+0emq17ot+nrg0QCu3T7/EvisXSK1FVd2eQzThEvdd7sUUR+3stU2fn0lFQ0ct2l45SV3/bbY6hL5A==,2017-10-11 16:17,Connecticut,CT,2016-11-08 10:34
49bc4daf-28bc-e811-816c-480fcfeab9c1,BhZecQmR1LLKF7NFgL3QFtE70ZsrsgM2hKwUcJ4jYrM+mfAryft3+S5Je6lZXrhgaTP3XiTggrstMCsfncbo5w==,2018-09-19 16:25,"Cuajimalpa, CDMX",,2018-09-19 10:25
7047bcfd-dca5-e611-80bb-00155d64ab22,KgGK5UyLDfnpm57m4VxDiO3sHlg2FtYTw4HQsd3csC9dguaIUIX7XMafQJR8S+zI/8xgUA4G+fjc13N61ZbISg==,2017-10-11 16:17,Delaware,DE,2017-09-14 14:08
be1f468d-d9a5-e611-80bb-00155d64ab22,PPjnc7n0gjlU4Oj6ICDu0+ySNxA+FQCqK1NRFDgE7/kPne//ssFj7zXaqmioIyZ783XQb3m3y840nJBnZES66Q==,2017-10-11 16:17,District of Columbia,DC,2016-11-08 10:34
c07010c4-bba4-e911-a992-000d3af438b6,GRLZtiGr0QWN8yM3wTgxrQyQThKqQe/f0cRtNpfWJ7RBDuPLxxOqr7uxAhk29bOZXOOwsqwdqWnKdn0pOBfi3Q==,2019-07-12 15:45,Dorset,,2019-07-12 9:43
320b4646-7557-e911-a978-000d3af45d23,FXuTRzBSFu2+x9ZSb/99aSIx13sGUP16+opNJ56Zclv9Zi043kxe+pMQ3NmEucPhMmx/MdA98Bvc7GVyGg3XAg==,2019-04-05 7:34,Drenthe,,2019-04-05 1:34
c01f468d-d9a5-e611-80bb-00155d64ab22,XaQSj+VHY7A79CC7OIGoyKaWcDidrBbyvzu+UVeJtQmhrpSKzQ4imE0Nnt9y//szz3PrpwWK99Ip7N2cpKtiRg==,2017-10-11 16:17,Florida,FL,2016-11-08 10:34
c21f468d-d9a5-e611-80bb-00155d64ab22,Y41uh6e+J3kOeNMUBR/p1b+m8+E4+gjaooRb5HVQYOyoEA3yP6PZH9vlGBSh2jNxqAFxnWCkxkQ52Y1QQTlWLQ==,2017-10-11 16:17,Georgia,GA,2016-11-08 10:34
e715e280-a241-e911-a97e-000d3af475a9,X+KhI4MdOhVkbYGWoB5TwHKKzHHTuhsJs0ZN/p4nQP09yIV3NH7Jx68LXJxZbvh1bAcsUza2V58yMO25k8g6EA==,2019-03-08 13:07,Göteborg,GBG,2019-03-08 6:03
30585c71-0223-e911-a974-000d3af45d23,R11qJpN0fTaBaZPSQ7vYV5nweREAzD3FT2IrZPxp/kty1pCcCrEfHrLbwzJt4NvkRo/KbaMYB9UWPUtldUS3wA==,2019-01-28 13:41,Groningen,,2019-01-28 6:41
c36add89-6d6a-e811-8145-480fcff4b5b1,/DqnJrgxDGkS8bzJm9JIO8ut3EnUL8QA0qLSQA61DaeaPXZdzi8aYor1NVfFsiMG50gQrqZldPMohajGvsx7wA==,2018-06-07 16:22,Guayas,,2018-06-07 10:12
d4c72f1a-dda5-e611-80bb-00155d64ab22,9jkMFFDtdqx/TqjOE/wnLKcuHL3FM2RkqQi6vHx7rtAfaiCp9MwWk1wmnmz7KCR55gx6SzNRkdS+SfylGbOeRg==,2017-10-11 16:17,Hawaii,HI,2017-09-14 14:08
c41f468d-d9a5-e611-80bb-00155d64ab22,ZAIIvQmHLwJ00PR/sVemuhzCK4Q2v4sKHXh/3bhG2mdHqaiU/GyehMoVcuxFpQvg6vhe6+oGtwfOAyiGY8FPPQ==,2017-10-11 16:17,Idaho,ID,2016-11-08 10:34
c61f468d-d9a5-e611-80bb-00155d64ab22,od6Pca/8KYBsdCGJswCJflgvXIXT5hPLAB2tvl4Y3y6M+/j0Yez6zrN0H8IuMBKUIy0RiivY5TWULaKdqaRQ8Q==,2017-10-11 16:17,Illinois,IL,2016-11-08 10:34
c81f468d-d9a5-e611-80bb-00155d64ab22,ecEizZvNk4o1GSk6P57yFPn4OMnaTnnZrxj5mQmTvIoKWEcsuTuCW41tTGpC/bmVnXV2CAAsVNMDMg0E1XB/3Q==,2017-10-11 16:17,Indiana,IN,2016-11-08 10:34
ca1f468d-d9a5-e611-80bb-00155d64ab22,PZS+GvpHt6IoHx3gCYACNMbJhsGjK8NvvGVOasyjK8ayUsJ1KetkrLQ6LH3n5681xIoozzwbT9FX6TLlScZqLw==,2017-10-11 16:17,Iowa,IA,2016-11-08 10:34
cc1f468d-d9a5-e611-80bb-00155d64ab22,vYe4bcMjheozsJVPdj4+JcpnVpbA1pHqpYy/TouNiEnR0zeRiLCAG5tu7kNCAIr+m6eVL9TahrpAVHqA+cPQGg==,2017-10-11 16:17,Kansas,KS,2016-11-08 10:34
47533d07-dda5-e611-80bb-00155d64ab22,wmqf/4SpV54ZInK2/Ae53N5om19klaXUEEAxQ8ywF8R3qgpbhoW7v9JxrzyUBPl+Ks+cuYmbmMAaBkvlVKTjuQ==,2017-10-11 16:17,Kentucky,KY,2017-09-14 14:08
9ff4e45a-6850-e911-a989-000d3af438b6,DI3PM1eMw7hryzFrMZeAsnJ4O8KqyEx/jNfbwrNF9HsyHUjTy+51DsnoCpfn7WzCRQHjjfV5d5C1AZvEUvWAmw==,2019-03-27 8:14,Kuala Lumpur,,2019-03-27 2:14
c891b263-1023-e911-a974-000d3af45d23,bSa6u8SBQ5obWk1KcuxEn5JTvvhyF6oV9V41rNfLHdoBdTXIxH8xf/EIWzBNCVN6mZIg2XHIiaeIWVH3VQURcg==,2019-01-28 15:21,Limburg,,2019-01-28 8:21
ce1f468d-d9a5-e611-80bb-00155d64ab22,eIMOBRfLc7Q/Qvq2uGUPVXGPovNmnSTc5JtG4bskSDCq80k5N8Wcai3/DVXSLVoysUD3IuZGE/uOP1kkl9ZpiQ==,2017-10-11 16:17,Louisiana,LA,2016-11-08 10:34
d01f468d-d9a5-e611-80bb-00155d64ab22,UgwB5rEtqrGhoAIc92+xgPi2uXzFfsXnk4IcgJOiNr46n8O6A0WtuG7DUVgprsU6jiKIRCycz8ffUppBIzPamA==,2017-10-11 16:17,Maine,ME,2016-11-08 10:34
d21f468d-d9a5-e611-80bb-00155d64ab22,0fL6O3S/eVAT6tF4Rl2CijvuiRqUNdwnL4JcZkke23fjzWQb1YO9JSJmsUmLbT3hk9aaP5c+r6JOYSH7KlXnzQ==,2017-10-11 16:17,Manitoba,MB,2016-11-08 10:34
d41f468d-d9a5-e611-80bb-00155d64ab22,3JhCOxLh43OP+o4o+TtOUJEkNpY6A81zTQYq5nNpnaCRq0WhD+msLig+UvSs6jYKkL8GFr44I2evzZtasl71fw==,2017-10-11 16:17,Maryland,MD,2016-11-08 10:34
d61f468d-d9a5-e611-80bb-00155d64ab22,UeKzgKMxxzYwGXYKdprYq2ZwsADlDSM9cYpn8FyQ1mP1k9tcTHC7g483wgDy2SJ3zsu6K1HnvJbeOG3e+SGNpA==,2017-10-11 16:17,Massachusetts,MA,2016-11-08 10:34
d81f468d-d9a5-e611-80bb-00155d64ab22,7eIV/czAv8dSYyJmxUrP8xA37d/quS3sW2qb5mKEaU0oq+FuG/ZoPp3P7NS/bNMD4aH58/uoB3qRlTjBiNffqw==,2017-10-11 16:17,Michigan,MI,2016-11-08 10:34
da1f468d-d9a5-e611-80bb-00155d64ab22,RB8Owcy/YdufHY8RndZgnZDOC9yIlX99siklSi0LY2gTshsMDrCYsrdhJEYsGccZE5iRRUZAigaj8Q7URSNFCA==,2017-10-11 16:17,Minnesota,MN,2016-11-08 10:34
6608c82f-dda5-e611-80bb-00155d64ab22,4NUCzdZ/NWBjWxhC8SMPTwWxp7rsHMlxOD1IhIOWtbWHD49bqoYv5wkhR18huTaZ7l0qo25EnlujSTvvBeIMkg==,2017-10-11 16:17,Mississippi,MS,2017-09-14 14:08
dc1f468d-d9a5-e611-80bb-00155d64ab22,iTzdWeyrCxGCbH+YIiISzmrR8Fq8EMcdHymlJb5J2RuYrT1zt2dXroGcGzZqsrMMP6HHbZ16QKBjotLpR1fAxQ==,2017-10-11 16:17,Missouri,MO,2016-11-08 10:34
de1f468d-d9a5-e611-80bb-00155d64ab22,teyNEhbIZIGwamZKmSpoeg3R0r17GLKQwZmlNSpuQ2PmQdDKcFDwZMMMWt8hlvUxbb5NY8VLwKXvk7tcKf2VoQ==,2017-10-11 16:17,Montana,MT,2016-11-08 10:34
e01f468d-d9a5-e611-80bb-00155d64ab22,BCK7qYsgHWXNdIEcGVwYGWdEfxijOqXqoOsR9jAtMlegONed9oQYpUyaLNpV4DqAzT+02bL1HgBTSM19nk6PtA==,2017-10-11 16:17,Nebraska,NE,2016-11-08 10:34
e21f468d-d9a5-e611-80bb-00155d64ab22,eYufuv659i45t88blqZYibYlzRfYCvoB+hi42H/jXfeOydwhJMDn9N4RWhN4/6jSF1izFgbY29V6I1zgZByW7w==,2017-10-11 16:17,Nevada,NV,2016-11-08 10:34
e41f468d-d9a5-e611-80bb-00155d64ab22,1+8MWFxcSNeHZ7MzYtsaa+jBCuX1tP0ojFQT0+/wqDeV+Fjf7TpQV1LVrjLUNcwfQ+y3g9cvM6TdEhlPKwN4bw==,2017-10-11 16:17,New Brunswick,NB,2016-11-08 10:34
14cf0845-dda5-e611-80bb-00155d64ab22,1UaBLUMmaPTqk3T3ZLPmgyr3OW1D2Od5o9Ei0Qe2QGAnFe0O0Jv5+7vNGaNU73vVuVSufefvj4kMi+15uKDQmg==,2017-10-11 16:18,New Hampshire,NH,2017-09-14 14:08
e61f468d-d9a5-e611-80bb-00155d64ab22,Y8bNuo7X4duaXWpzMSEuR+zyNp3rwFbNKG364N6ylj3qPC+w0YQ9DPWFMspQ20y/F67tTcs5jwKTKPhQNIHhUg==,2017-10-11 16:17,New Jersey,NJ,2016-11-08 10:34
3b3c725b-dda5-e611-80bb-00155d64ab22,ckfQjzDPjD19Q3Q+r+mpF/GQkEarjE9AZq3Spy+l333kDMdl/DLmXCRx0lBDWZNohSYd8L/2Kv8TCHucUba8mQ==,2017-10-11 16:18,New Mexico,NM,2017-09-14 14:08
f479b343-67d9-e811-816f-480fcfeab9c1,h+Y3u79mi30AvNdFNOtWFyKL/1MMLtX4l0iKlswS74/YcGCYaaHjXUgrevRrJKz/cHDgILzYltMg9G1VQsm3ug==,2018-10-26 21:37,NEW SOUTH WALES,NSW,2018-10-26 15:37
e81f468d-d9a5-e611-80bb-00155d64ab22,OqwsKYGDnPPhkBYpqy69wu/w7zjMGXXrsdcoEx6OoAt6/NzhzO65ex8ikHb0Ho1AdvBqlXGUkDYai01f0eU11A==,2017-10-11 16:17,New York,NY,2016-11-08 10:34
ea1f468d-d9a5-e611-80bb-00155d64ab22,sZ/hqUcXPFuEelLofVFpex/WOIfW+IllZAxKModori6Gs4t6umXi5TNiDwMSlM/BOScOuG0W5dp6qW+RwIHieA==,2017-10-11 16:17,Newfoundland and Labrador,NL,2016-11-08 10:34
418a1b15-f41e-e911-a97e-000d3af438b6,Sy1UwDqHN+2QyEonD1ggpodJPNbnrM6jdmdTgqa+KuGqc1a+c5uOWnaaWCmfbVo4ofQoier8Nxdszbufzmyirw==,2019-07-12 15:53,Noord-Brabant,NB,2019-01-23 2:48
163153b2-7457-e911-a978-000d3af45d23,3QG4a2OhkT7wKmzHbnqiZ6+FK3ekHIXtKq6SiyuoWurx6oT7UJQ9lnJaeJwNFtk/o3HNNsAA5S6+VIiYAKuj1Q==,2019-04-05 7:30,Noord-Holland,,2019-04-05 1:30
ec1f468d-d9a5-e611-80bb-00155d64ab22,OYk8Krc3oOamRmSrELaNDRoofOsrfj68t0lSD94RPx95l9uw/WGglzgatWHY4486tmhm0IVWnrs94XuHCa+nqA==,2017-10-11 16:17,North Carolina,NC,2016-11-08 10:34
ee1f468d-d9a5-e611-80bb-00155d64ab22,IG99vPGDBZndgl3PMx0u+kHx/QlydEYbz7w6eZhRkwKnwAUD9/EMp67j9k2dkACiG9PC/vC3jdSgYXWxFwajOQ==,2017-10-11 16:17,North Dakota,ND,2016-11-08 10:34
181197b0-4530-e911-a978-000d3af43d1a,CNsCvurKWT+c0uSsI9z4RqdNIquIZoG5ECi/TmgqG9Vha97NkNBs6ULQucY+1TiD+nmTxCD/vqm7CgvHTr08kA==,2019-02-14 10:45,Northern Cape,NC,2019-02-14 3:45
611e4e10-c0eb-e811-817b-480fcff4b171,XIob+Sm3UO9UxKDdWMbem+FWoz3zSqSHYYWrOYZd0HQT4jaJ5wuFkxEOnqU0V8Wu6rk24zLE7lD0gKH1snnl2Q==,2018-11-19 5:57,Northern Territory,NT,2018-11-18 22:57
f01f468d-d9a5-e611-80bb-00155d64ab22,LYAWMXOlsz5GGCAckEQhPvWFVzcbx4o2+uCb/yGP4HsIMCg/5F9bFbRHo1lLEvvoM3g92dKuMZQvczg0RbjM4Q==,2017-10-11 16:17,Northwest Territories,NT,2016-11-08 10:34
f21f468d-d9a5-e611-80bb-00155d64ab22,AvWkSEEtX06xzHso8SAAEM4BMbvvp2Wu/V9d3f4zts2Q0RP/4+/2ETNXct8Ebzmw9ykavQHqQsxW1JNsMMN0jA==,2017-10-11 16:17,Nova Scotia,NS,2016-11-08 10:34
f41f468d-d9a5-e611-80bb-00155d64ab22,9MY6+YWKvpgginDXH2O6wPMY8BcTi0y0A/Zi6rgNGhGMAqBo9coP1Y7TWyJlQq5oGXialU7kxLfGCwQb6Gwbwg==,2017-10-11 16:17,Nunavut,NU,2016-11-08 10:34
f61f468d-d9a5-e611-80bb-00155d64ab22,62N2fv3qzMXVTL+woRhCeJC1hLWy7FwMdvzV+KxUTxF2E9+bGCQJV7xOa2nW3w6kNq6lDUxkHH5kDGzguZtvpg==,2017-10-11 16:17,Ohio,OH,2016-11-08 10:34
f81f468d-d9a5-e611-80bb-00155d64ab22,KM+Mo2TW+XzOK5xN614ksx53OEZugRMNWkEb+XXXs8CU7EOPaBNeS1yJ2LdvN5+9bfKXhzuNzZ64brRVgoiFbw==,2017-10-11 16:17,Oklahoma,OK,2016-11-08 10:34
fa1f468d-d9a5-e611-80bb-00155d64ab22,VANfU+58RMhZKvf69UDZzcRobui+GadBLGTQ4p6XU51QmsRXvOBYJSOuBwk0gvxmjYcvTetDqQnCGTQTjsayfA==,2017-10-11 16:17,Ontario,ON,2016-11-08 10:34
fc1f468d-d9a5-e611-80bb-00155d64ab22,WZE1TiMtT66uJMHC8EsiHSPy0wYjgeedSjh+8wJlDMMlF8R1v4P4v22cG8I7aDujk0cofj6l1mReAZUk5CTk7w==,2017-10-11 16:17,Oregon,OR,2016-11-08 10:34
8745f715-24ed-e811-817b-480fcff4b171,ZHFdmN25nnnGQGD7poBigGbTkdHyIYKvTCxLpEXSk7H5wp4sSscNb7lOojw9m1KKXs7Q7B8LNyDsd9fc8a7yrA==,2018-11-21 0:26,Papua New Guinea,PNG,2018-11-20 17:26
fe1f468d-d9a5-e611-80bb-00155d64ab22,GCyAQpHe7WyFWR6Jf7fOoZujVmNWIaP7EAWuyhIy+1Ji2X/S+zvO482MNW7qJh5FmSEnOXbWJUBeet8ZRiArTA==,2017-10-11 16:17,Pennsylvania,PA,2016-11-08 10:34
e87d2f54-cf45-e911-a97c-000d3af42a5a,QORyOWG+2fRcTuTi1IJI7+OAORohKREFOYf0CjsXs86QpSrWF2AHLKB2aKKrBbDoskGIiaA3Hkp2LzAq5j3V0w==,2019-03-13 20:34,Philippines,,2019-03-13 14:33
8e9661a7-6e6a-e811-8145-480fcff4b5b1,+0K00dn+fkrBuVUOJyAmKDxGOHma8SjNP6q1EsqSMxJmvHu+9gz9HoMbC9M9vw3yGCJcT7af6iUWBViYSUfoEw==,2018-06-07 16:20,Pichincha,,2018-06-07 10:20
0020468d-d9a5-e611-80bb-00155d64ab22,9bDrJ8hjt1TJvfx7yj9Kl0xGJpIBH2YlLlKHJvuq9EY1ux96iHBRB8H9EGR28M3+0AnCRYZf3+b5MF+izl5iUg==,2017-10-11 16:17,Prince Edward Island,PEI,2016-11-08 10:34
0220468d-d9a5-e611-80bb-00155d64ab22,wowO1poyBZVg1nbQQ92kesFhi51vEjB9V0Lk0D3Dz0ECrCTk9lt9J7y1faDWpu5CoL2igF7X1WYdqpZCl4Y7gA==,2017-10-11 16:17,Quebec,QC,2016-11-08 10:34
36252982-892d-e911-a97f-000d3af438b6,7TPBP4X8ToKr9LQ+Kj4bdtEgF6o5WOXvxW+I6NIFB30mFpucn7S2Z9ZSe8stHs3F45W+SaKjwMizCGtNiuhrcA==,2019-02-10 23:13,QUEENSLAND,,2019-02-10 16:13
0420468d-d9a5-e611-80bb-00155d64ab22,4fRdE61VPyoHQmstWYtdT9n0/W6Q1oXRSmHiEAbTVOVaNp5L2zCaF1yaleNfE+Q50aX7DvSZYVn8fnyr9rU7VA==,2017-10-11 16:17,QueensLand,QLD,2016-11-08 10:34
bd111b78-91eb-e811-817b-480fcff4b171,lOdujRtVYfB9NO+Red2yvZ78p/jniUTEPTp9vSnbx3hiWSkyhv0h4VG8yfuBCGhUokq2biY+uUK63BAOGY6UFg==,2018-11-19 0:25,Queensland Australia,QLD,2018-11-18 17:24
7b60ed77-dda5-e611-80bb-00155d64ab22,ikaTpY6Y3tS9K7gpG5pYKn19eW1ZQaJPDeVpdMylSp7LN/v7yQ+xlFwd0725sLhhuJ55lSWb0Hxpfnmv3K1liA==,2017-10-11 16:17,Rhode Island,RI,2017-09-14 14:08
55ca8a47-e626-e811-8137-480fcfeab9c1,MYK76zjuQnNR5VHdWEyo+rU+1ephI21HzpWxyL+MABNkn0UVoF+rrH32VPBNUG2sKmYa4psa39LzncEQJiOqDA==,2018-03-13 17:45,Santiago,,2018-03-13 11:45
0620468d-d9a5-e611-80bb-00155d64ab22,pW9f99IIf3XWwtBsHVr60pmwGuWqPlDEk2ZOIJBKeOmEE6LNGgRIpAHZ2pgrqm/45jte0huw1eP4F5rUBYCCTw==,2017-10-11 16:17,Saskatchewan,SK,2016-11-08 10:34
0820468d-d9a5-e611-80bb-00155d64ab22,PZPZlxXr7bZ4JjPjUsbhKygaPCkP0aPhl+To/mWQbVOQ2DNFBTxtDL2hsA7GNcY4LTJzdPTGitZeLghlwAJMaA==,2017-10-11 16:17,South Carolina,SC,2016-11-08 10:34
0a20468d-d9a5-e611-80bb-00155d64ab22,BrltcVxHBe5hImmT9HboCLo7briIOjBxKY0ll+WPAbayU36QHtXGBulwf5iIFtyCpIyk4AR7M0XPjLEDxL3UFg==,2017-10-11 16:17,South Dakota,SD,2016-11-08 10:34
0e20468d-d9a5-e611-80bb-00155d64ab22,WjnjT7mDJJ5f0WcY1E+yfw3LPOTEOCa46ufn3Vcu5r4IKiJEldtrdCUkfC6UVpGsUYGENyHCPxIfO5EbL+Bd+g==,2017-10-11 16:17,Tennessee,TN,2016-11-08 10:34
e4b431ad-977c-e911-a990-000d3af438b6,FuN8NaxwOYIpuBZjfOQaN2miVbMfcPhxralJ3rXxCADD8jmfDlu66OFwE3ZBoEdbfBL+FI2MEymq8yUgsKXhbA==,2019-07-12 15:46,TEXAS,TX,2019-05-22 7:44
1020468d-d9a5-e611-80bb-00155d64ab22,RiK3XTZ7/NgED802Dn/iVS823L4wE9FNQ5XzW4pGvRZ8LLyyuloDQGref+ATR6SH3UZHpdAQ91D27TIpGECeow==,2017-10-11 16:17,Texas,TX,2016-11-08 10:34
1220468d-d9a5-e611-80bb-00155d64ab22,/GPQFMUf4wPIeibNKCDFemaLBVcAg64ejRGKoclJBFA9DiVRu+n4vnbi8G1FReU+9Zc0Q3ZQ9k9L3xpmKyIqBw==,2017-10-11 16:17,Utah,UT,2016-11-08 10:34
d43c552b-8ff1-e811-817b-480fcff4b171,Sw16KlRQJDgVH/4n2CV6TZUednBTEN9dk7bBR6AKk5v0FQTAS3T/aGOh1guNNbxNBdtoMn72/yFmFWgqYtYvyA==,2018-11-26 15:23,Utrecht,,2018-11-26 8:23
5fc2e083-dda5-e611-80bb-00155d64ab22,LRKsjcq5SGc/xTb2+VRgAD0bxU1J4s7AbsGY1BFhBdEfAe7w7IQ8eOHvUSsOwpEZXhn9MDoCSZAvRiOecpJ6eg==,2017-10-11 16:17,Vermont,VT,2017-09-14 14:08
4d5361db-85d5-e811-816f-480fcfeab9c1,tRNljsiSvckuOXwpPS7+yrbdSbRQRCZho4nqh7RgZk6441N9XH0JqXOS4eQkaf3mpeWr5rZ0oPve3kbUrQnnjw==,2018-10-21 23:05,VICTORIA,VIC,2018-10-21 17:05
cf3ebc00-bb57-e911-a989-000d3af438b6,g+Z79cpkbS9i8pvlAA7gs2UKJJ6k3qOacAOqSx2RoEsmf1Hvq9O1oGewQFcXP11M0v/cFDtg/7Pj2LbhHShutA==,2019-04-05 15:53,Viña Del Mar,Viña Del Mar,2019-04-05 9:53
1420468d-d9a5-e611-80bb-00155d64ab22,w+QushOItXZ+MvARB+moWJxuco/SL65YJltYfC3prA9Sm0KN6e3WSCGmIcNiUJIOGbwFJgEgXueY8sJbl3q9bg==,2017-10-11 16:17,Virginia,VA,2016-11-08 10:34
1620468d-d9a5-e611-80bb-00155d64ab22,30RGj++XmQEMQi60AjmpVq9OAfNdnvKeFp/v+OILHdpm/DAfye0ybUVFDt2u/Hy5xp7OoUpupHygoE2NRXm5NQ==,2017-10-11 16:17,Washington,WA,2016-11-08 10:34
d37c3694-dda5-e611-80bb-00155d64ab22,BkH/QVi9RnQXKurKyC9DgLq78xfKLWR+51bAadmJdFDHu6MWlp673xuOKFcLEyjvqnUcIS2jdRw8W7V5uux3/A==,2017-10-11 16:17,West Virginia,WV,2017-09-14 14:08
b005a1bc-b0eb-e811-817b-480fcff4b171,3a+0xq83gmaUxUKNygo6S7U3OEf5VoizgeRAtNDVqtNw/ZwFXC8YvXXb/wCHERrNSMbi/IHqn2UwSLM8sZDwLg==,2018-11-19 4:08,Western Australia,WA,2018-11-18 21:08
26a92f1b-297d-e911-a97d-000d3af45d23,4h5doA0HrEm3z558XUPjBJnkmH9bUNQdchPozcDFaL0Hq5LmbI0ZB2MqnfYPn7dLqGARRqPurYVMIEplwZv39w==,2019-05-23 7:05,Western Cape,WC,2019-05-23 1:05
1820468d-d9a5-e611-80bb-00155d64ab22,OlW7DWYYINFbNNv9dLbS1j9IHiGxvSvH0hZK/UgKJ3n12/5BwGW3IMYnSA8htVXfY+88s8bxiNd1MkUqbBPkrg==,2017-10-11 16:17,Wisconsin,WI,2016-11-08 10:34
1a20468d-d9a5-e611-80bb-00155d64ab22,QxQFYHxNIPCvX27dGWZGltYgOaoRPul8iXtNqM3d6Rf0ipzuqkPWzvBPHZrz9qAFbWl7FifW7ZHMG1Jvdwk/oQ==,2017-10-11 16:17,Wyoming,WY,2016-11-08 10:34
4ef451ae-7404-e911-8174-480fcff4b5b1,b6yMXH62hTJi6dunpp8FcldZcXmaaGc+O3nS+Iyhz3m4I2KTh97JpdHhLMNlN1s5pI3TT0q68gHZJIZG2+FA1A==,2018-12-20 16:31,Yucatan,,2018-12-20 9:31
1c20468d-d9a5-e611-80bb-00155d64ab22,7dVrYVc7LwWAruVnPkH5xTmcuou7FxSMkCt2+Eksl/yJvuxqr078M5YN/zt7+y0c1Bcxs26/x9XkkbBxW4oZlQ==,2017-10-11 16:18,Yukon,YT,2016-11-08 10:34
e9ff90d0-b61f-e911-a978-000d3af475a9,6wzA6S2MP1Ym/PYIfTv6F/C6ZQU6N0/FFKmpZ4tB+O/lY1UjHnb2AFe8EJHj39VIgVr2B8XPyq4BYBvA0RHRzw==,2019-01-24 9:03,Zuid Holland,,2019-01-24 2:02
b2d91d8f-7557-e911-a978-000d3af45d23,omIpAtL9Fig9mNJQW1nZ5tUrC9ptT3aJr805u9BYLNiFK0Mu2kcgF8BxLNBzIM/fG9LIqmmLk8/t+NusxuMXCg==,2019-04-05 7:36,Zuid-Holland,,2019-04-05 1:36
